,Center,Left,Left Center,Right,Right Center
is_save,0.5846397555818033,0.5647036385189048,0.5692767911840302,0.6080348827239219,0.6190735263150957
is_save,0.5834981673796189,0.5505084818599839,0.572641613511919,0.6101991395679827,0.61792360809506
is_save,0.58613033095175,0.5580614309455245,0.5741905674422892,0.608155891085025,0.6167085657046651
is_save,0.5871942175039352,0.5593797467863993,0.5762736776931875,0.607290286500571,0.6188547693992261
is_save,0.5860147725811072,0.5569510699140714,0.5724158723810058,0.6101190991880006,0.6214339947443396
is_save,0.5855889515285482,0.5536675252593631,0.573367857680577,0.607616854751915,0.6163662215074642
is_save,0.5866520580446524,0.5632277705451723,0.5709450992252437,0.6095408492892344,0.6174005807383862
is_save,0.5855290610810873,0.5537022897409887,0.5658422267694928,0.6064037146369967,0.6184561028703902
is_save,0.5858184374315754,0.5650697787064549,0.5690537690931663,0.6091074506392309,0.6199631162206338
is_save,0.5847327184886332,0.5577681160627499,0.5746745845339283,0.6079127184590878,0.6188675101223805
is_save,0.5851937332875046,0.5536745480539942,0.5695965581228504,0.6084922306660674,0.6221144925430286
is_save,0.5875886251809372,0.5610388574381409,0.5695671680821476,0.6078583298262346,0.6167784034518418
is_save,0.5849331734931078,0.5580573183867709,0.5751028190927991,0.6085479563010394,0.6163729323624757
is_save,0.5875296378101342,0.557637975921841,0.5715695030152338,0.6081417956763222,0.6196263696760757
is_save,0.5852549932922708,0.5510295851418336,0.5769125948915179,0.6088649437138084,0.618372980969705
is_save,0.5869076362832553,0.5610188318275824,0.5725744635706804,0.609259724895839,0.6180455249482117
is_save,0.5858817184025604,0.5658518119493089,0.568093496526004,0.6078996644974235,0.6205307474617889
is_save,0.5890473327742268,0.5539129398441689,0.5715545149544573,0.6066414020136155,0.6221455571432515
is_save,0.5842401490463766,0.5628610513982935,0.5779412467868841,0.609871794072937,0.6194889441434995
is_save,0.5859317672313407,0.5540744855717091,0.5641216465775862,0.6094851903058865,0.6198228421088553
is_save,0.5852872085857543,0.5574274578887746,0.5672706437330483,0.6075680019307989,0.6178441728113877
is_save,0.5867702745360506,0.5564107633010775,0.5689567606653602,0.6080964824241961,0.6193922574965903
is_save,0.586582167227217,0.5560642105635024,0.5755915064472423,0.608361272953122,0.6197038273624774
is_save,0.5886857495461221,0.560548880131849,0.5740878099829105,0.609812680888359,0.6208476799255442
is_save,0.5871006426343929,0.5542952311543627,0.5712331584667625,0.6066884792135114,0.6195209010020425
is_save,0.5876547600685655,0.5589987149357803,0.5734217002198525,0.6079649082823954,0.6211220406104302
is_save,0.5852757850108369,0.5586275906868181,0.5714846065266528,0.6067839147755988,0.6164186842074878
is_save,0.5878081400304942,0.5527812618420131,0.5701430430059211,0.610397459478306,0.6160179778893676
is_save,0.5866795151507379,0.5528786686412747,0.5734204397451677,0.6097183732772335,0.6209970558919983
is_save,0.5869383923217789,0.5521493196607319,0.5694932289283406,0.6073971364926538,0.6187289613967473
is_save,0.5858233424027045,0.5591516534154128,0.5738320124002214,0.610617869359874,0.620133808871744
is_save,0.5846633624711117,0.5526519169374481,0.5714827410191341,0.6094363234399771,0.6189856610197328
is_save,0.5878215286285898,0.5574141044957817,0.5664431601411732,0.6082585424487182,0.6197659292239055
