,Center,Left,Left Center,Right,Right Center
is_save,0.5231058241308335,0.5832568447455265,0.6049170023965043,0.5908427174239109,0.6371285013022311
is_save,0.521636399151459,0.5901071058403539,0.6027829427509386,0.5909607174864471,0.6358525240964628
is_save,0.523592599817981,0.5801959993857022,0.6069925976521016,0.5915011452421381,0.6353639133723831
is_save,0.5248617003200142,0.5806417243646066,0.6032320775391444,0.592757309274253,0.6355950058978204
is_save,0.524014329982853,0.579159859908523,0.6060580860048558,0.5937757352382675,0.6374062276504866
is_save,0.5260556174670783,0.5867350284786942,0.5984039491243556,0.5936101475263575,0.636068775190175
is_save,0.5228037717987888,0.575482211078009,0.603773662583414,0.5912548569497775,0.6328095925476969
is_save,0.5240018014224989,0.5784852268734068,0.6063405699584024,0.5926882999594353,0.6391808299043932
is_save,0.5235038214343541,0.5794797710904185,0.6103253547358394,0.592465046434229,0.6375374162990672
is_save,0.5255743235779725,0.5874063648687078,0.6031041045732475,0.5922685557968611,0.6350660203721068
is_save,0.5229452619977257,0.5862791221252026,0.6007412194331168,0.5935668385194653,0.6384036311155765
is_save,0.5217733703373516,0.5809981896661951,0.6009636892625776,0.5900953661893369,0.6377657481424286
is_save,0.5221683611953312,0.5884322188167632,0.6008222003278032,0.5918770085811915,0.635979532211829
is_save,0.5234045070532554,0.5830387207507144,0.6086927367860931,0.5906407766615092,0.6375145648248526
is_save,0.5250385261614257,0.5774654730943419,0.6045878833031094,0.5925343651296585,0.6336104327315991
is_save,0.5235122119834384,0.5735599738601892,0.6048344122988821,0.5890290287392006,0.6399319846957329
is_save,0.5235872507866617,0.5855267391636931,0.5986312605679948,0.5893701500356897,0.6334579295562183
is_save,0.5262440048925646,0.5844811123566966,0.6059869685964537,0.5902919197711272,0.6322161104585728
is_save,0.522365027310017,0.583114425984691,0.5953861421964919,0.5954249101678488,0.6336437689328822
is_save,0.5226653016639682,0.5801637179548671,0.6066623856940893,0.593446620378855,0.637143806496187
is_save,0.523614122642847,0.5867884112141142,0.6021685507590844,0.5904337397023729,0.6351488459917092
is_save,0.5223963840299819,0.5823487975544431,0.604225918925672,0.5907371288205854,0.6330154247925367
is_save,0.5246134500191479,0.5760370277450411,0.6024383108846235,0.5952283238325722,0.6360864714433154
is_save,0.5251528891995009,0.5827655413883699,0.603619376034998,0.5920734030658606,0.6337340432681355
is_save,0.520601861794745,0.5845851791422136,0.6055542949935514,0.594193595124054,0.6359753560156907
is_save,0.5227905894987143,0.5801424616320592,0.6013405949442577,0.5914827009386343,0.6348868228365718
is_save,0.5219456999062968,0.5727192182649365,0.6019691734158346,0.5917887433014494,0.6384871413708231
is_save,0.5249377757042235,0.5849509685699112,0.6043107259478586,0.5902437474414656,0.6366029468797649
is_save,0.5252025820759896,0.5717855306492488,0.6050501711405663,0.5930621349174257,0.6379301985256607
is_save,0.5250236131899814,0.5910178264152295,0.6066242346891492,0.5933842739051804,0.6378894359512353
is_save,0.5228133145055809,0.5815570939806418,0.6037777115351521,0.5878387807542845,0.6362059135897445
is_save,0.5200657338044701,0.5777543950944617,0.602302559210865,0.5924810148943964,0.6373327115939651
is_save,0.5243734177143857,0.5712074206114081,0.6006512039579963,0.5950284058367732,0.6365752047512874
is_save,0.5231382278223142,0.5920676396018295,0.6064350417362399,0.5919758115373026,0.6383337228259357
is_save,0.5218997514291172,0.5752176496041334,0.6034454411142894,0.5960870184048324,0.6377361901817173
is_save,0.5230171231135048,0.5825131675639846,0.6041522092788161,0.5944262262896828,0.6374026745184447
is_save,0.5247127141353403,0.5805787622312316,0.6013576832003074,0.5910303593363635,0.6376479798267816
is_save,0.5247552977916903,0.5795649938014575,0.6033111414333377,0.5920555801957,0.6379227253416037
is_save,0.5225115448589472,0.5825108422966601,0.6039051984861252,0.5932056202691656,0.6393628281590886
is_save,0.5242408645941523,0.5784043211631669,0.5954491632361226,0.5921883034674873,0.6382724006093075
is_save,0.5224906884969378,0.571656878339377,0.6059206443713941,0.594020914821157,0.6373584181726883
is_save,0.5258641139783389,0.5895211897349967,0.6087004261492202,0.5914829477259186,0.638067090059494
is_save,0.5262486394093261,0.5795070049209915,0.5989613954779841,0.5910495112358792,0.6384145925525679
is_save,0.5241920835124897,0.581372656403661,0.6047950574583016,0.5924217177303912,0.6358342350666617
is_save,0.5234920110629075,0.5799621224476716,0.6041477737472883,0.5886354827856627,0.6386752662697
is_save,0.5237036626368828,0.5789899551793236,0.6022027613417474,0.5902464536721181,0.6342533603112294
is_save,0.5236321250254573,0.5834035580013369,0.598290856235262,0.5918292328019176,0.6361255143615592
is_save,0.5249148833642623,0.5793900573047728,0.6062406838762879,0.5927445479418227,0.636240603397698
is_save,0.5254490383249958,0.5784576834194243,0.6018671982539644,0.5926483703732486,0.6334854523102278
is_save,0.5213689879494937,0.5800441347954107,0.6056788154710457,0.5897521583434604,0.6345439191648049
is_save,0.5232630546154295,0.5802929619210729,0.601120019811936,0.5912966402316605,0.6363167158560568
is_save,0.5221395056027852,0.5824955798307029,0.603984118645909,0.5889725152987594,0.633620149217216
is_save,0.5243684911044015,0.5771378134382105,0.6042685022651384,0.591521854479276,0.6367106956742811
is_save,0.523936866495432,0.584967407176597,0.6074101728651903,0.5959190806189217,0.6345735075400678
is_save,0.5210589390050201,0.579441254628887,0.6035648274386742,0.5921500110569935,0.6341382805439051
