,Center,Left,Left Center,Right,Right Center
is_save,0.17635871836002753,0.13193308250740127,0.13742422155150347,0.20539971140952373,0.18116836999983793
is_save,0.1756838482713789,0.1295325679662898,0.13978294413166487,0.2005152240344421,0.18050406282813108
is_save,0.1758147969942347,0.11365952198831741,0.13311856739312167,0.2045319568958428,0.18308165551093913
is_save,0.1767708139520548,0.12698436075428404,0.14252965778482912,0.2055853356813533,0.17958553278204376
is_save,0.17763553359826645,0.12156751992353076,0.13616029969745808,0.2062909327668629,0.1794743543144156
is_save,0.1808693692205482,0.12581091665316269,0.14125377629897645,0.20289566852522528,0.18375580021510812
is_save,0.17768286588957316,0.13293223865784082,0.13911311810357568,0.2033036497471296,0.18184777872588542
is_save,0.1736359159875452,0.12846397820141892,0.13900472258439955,0.20491542971285198,0.17944420140460055
is_save,0.17619241019122822,0.13024548116050838,0.143889574031915,0.2040630145689229,0.1827417980391114
is_save,0.17763583104551495,0.12391379245994033,0.14031774816507614,0.20234634521978395,0.18294650113272737
is_save,0.17746285703216502,0.12494737429920694,0.13496499144732732,0.20275135953884343,0.18295323009084707
is_save,0.1757862178892481,0.12994650431569132,0.14118114828006378,0.2039634081306737,0.18110412140045618
is_save,0.17755856031770273,0.13583685421459168,0.13899436790231795,0.20318978368054347,0.18162296515312837
is_save,0.18000888946608973,0.12880064865075264,0.14175461481920532,0.20448316482292322,0.18348826655283834
is_save,0.17460147542954774,0.13115532508140715,0.14074550340882785,0.2041681552734766,0.18484477915297298
is_save,0.1770178975292066,0.1284670335159545,0.12947016823109242,0.20582464063203748,0.1855452641959719
is_save,0.1763784347974578,0.11813930212196999,0.13238106033071417,0.20588566292483784,0.18154733361039915
is_save,0.1745307890383082,0.1337920424539502,0.13723677278033825,0.20557705364025852,0.1830434505586237
is_save,0.17757643839778886,0.12993805506285183,0.14271130287012906,0.20554891642469253,0.18238701749908737
is_save,0.17476442989034996,0.11873973361953477,0.1402764971227597,0.20452446311003775,0.18609553236655835
is_save,0.17596310390052394,0.13395223127032724,0.13855400877802265,0.20532569917053073,0.18429086562928904
is_save,0.17656427353088133,0.12155725377257487,0.13749486265064936,0.20589599114091478,0.18637790180698532
is_save,0.17505489722304812,0.1236091257245881,0.1404035310578815,0.20513608538295552,0.18417590503564496
