,Center,Left,Left Center,Right,Right Center
is_save,0.4232933820537883,0.4521959376727329,0.44751849359523443,0.3763006734291328,0.40995712137926726
is_save,0.4246746840236066,0.438356478525299,0.4388082481231199,0.3730369947001428,0.4028535745272462
is_save,0.42541032363093373,0.4504341237662284,0.43898810560991125,0.37562140775776787,0.4104712936499197
is_save,0.42120410107449036,0.4551549073029707,0.43655355921261,0.36914205573672526,0.4114390242144491
is_save,0.42973847758090866,0.4639798782758137,0.435864918927644,0.37234470269076103,0.407182706592961
is_save,0.42020343223316564,0.4631839194137264,0.4362404017060235,0.38093886096339,0.41119091844071215
is_save,0.42681202107449007,0.46546143394653894,0.4305079523266965,0.3670460601693679,0.40973253926890185
is_save,0.42258220742668107,0.45438761245309855,0.44381099731623086,0.3736645356921179,0.4013064447266881
is_save,0.4234961263358847,0.44447254715690604,0.4342202195561166,0.3767749319668026,0.40111589608677384
is_save,0.4220994000598948,0.45284180945886593,0.4264667922572665,0.3702639781681286,0.40901810368718516
is_save,0.4205158755075956,0.4606569439920868,0.43967722471437054,0.37055143844726735,0.40040467977655964
is_save,0.42572526385500264,0.478874145178493,0.4481244850135382,0.3685531132990175,0.41252258894241445
is_save,0.4219698945861132,0.4532183012597888,0.4458539797795107,0.37019133558112033,0.40111742703908193
is_save,0.42044525128505655,0.4542286487810489,0.4325175666753534,0.3741848219553699,0.40808542890148564
is_save,0.4220954182602,0.4438181027020777,0.4388312955040932,0.37590538624259234,0.4087541493683784
is_save,0.4225792937542817,0.4650861832971541,0.4409112417936549,0.3692629970295732,0.4082744432687095
is_save,0.42384306182291415,0.44611632645803234,0.4405991521483612,0.37310215848059947,0.4066018029763124
is_save,0.4261507016155773,0.45224056647861316,0.43577695597704,0.3697076667424525,0.4092291037554247
is_save,0.4228495048056008,0.4596623436899939,0.4304085552679183,0.3731370114191812,0.408045224904822
is_save,0.42139906806755006,0.45084484060652114,0.43277524353192914,0.37632531135740005,0.40564329505240426
is_save,0.42499874600980664,0.45613753996476153,0.4483080559744131,0.37541934667424726,0.4135969498453313
is_save,0.4235455258787742,0.4724955487354407,0.43626359972072876,0.3769852387342106,0.4052241241012348
is_save,0.42113772090777596,0.4523416341349796,0.4426077078653253,0.3751536797684136,0.40255573164163827
is_save,0.4194913690159047,0.4608477695763981,0.4390456328971964,0.3796112424684724,0.40991810998814077
is_save,0.4258717756810387,0.45469468173208727,0.4358069856779024,0.37731380808257214,0.4070122708481528
is_save,0.4211577481597249,0.44324330398791073,0.43568627515743436,0.3776492564981399,0.41665472613857096
